suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
libero_spatial,2000,1475,525,0,0.7375,0.7177746294224202,0.7563147731189847,109.0,220.0,525,9.043447328964248,10.200447970012203,15.51663132701069,16.182576137501744,5.666915538895668
libero_object,2000,1103,897,0,0.5515,0.5296254350233154,0.5731771091067155,137.0,280.0,897,10.75576886232011,12.078232535511255,16.069879374559967,16.60588070903439,6.710129186395142
libero_goal,2000,1192,808,0,0.596,0.5743304292107909,0.6173014977112083,100.0,300.0,808,10.72039737389423,11.790596229324583,17.935179055156183,18.660261187688445,6.550331238513658
libero_10,2000,933,1067,0,0.4665,0.44472126939809276,0.4884071727697511,247.0,520.0,1067,26.57189076440409,22.29709085261426,30.022711133630946,31.55817542053759,12.387272695896812
