category,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
Background Textures,1076,1012,64,0,0.9405204460966543,0.9247595036604817,0.9531471485209604,135.0,300.0,64,9.011943981517106,11.006691069261269,17.048465084517375,28.361714561237022,3.289777664034757
Camera Viewpoints,1599,1160,439,0,0.7254534083802376,0.7030581969033826,0.7467679515483069,133.0,300.0,439,10.10870419535786,13.207549401116863,27.812272094842047,31.74879487769678,5.866353192329407
Language Instructions,1537,1320,217,0,0.8588158750813273,0.8405118196932846,0.8753308088171121,131.0,300.0,217,9.106037185061723,11.286432297475862,17.53628643648699,29.520379677079603,4.818679567005667
Light Conditions,1142,1076,66,0,0.9422066549912435,0.9271317364886633,0.9543165583212463,130.0,300.0,66,9.029916198924184,10.571865497095406,16.897903938731183,26.780990692158213,3.353630666023043
Objects Layout,1525,1296,229,0,0.8498360655737704,0.8310287141919539,0.8668853787598778,127.0,300.0,229,10.00592276128009,11.993603973779827,17.992656461987647,31.040060512218616,5.08062390555951
Robot Initial States,1550,1134,416,0,0.7316129032258064,0.7090002382057046,0.7530803659152168,139.0,300.0,416,11.766898225527257,12.778063750479431,18.326958705484877,31.045139579982497,5.501666337011977
Sensor Noise,1601,1392,209,0,0.8694565896314803,0.8520656323128019,0.885078833576881,133.0,300.0,209,36.61528926156461,72.08265465481537,177.13453870778903,463.1805221219547,32.056758361766505
