difficulty,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
1,1644,1543,101,0,0.9385644768856448,0.9259031304882228,0.9491810545109773,126.0,280.0,101,9.011086074868217,15.628326300547771,19.938467264547953,175.7258020047264,7.136935677250149
2,2202,2049,153,0,0.9305177111716622,0.9191304151854047,0.9404055194658805,127.0,300.0,153,9.452553523471579,22.744828473402485,38.28792849951425,253.80963621560437,13.912253416231186
3,2094,1855,239,0,0.8858643744030563,0.8715326667059633,0.8987829323138203,129.0,300.0,239,9.641647599870339,20.320816843967027,29.863401190703733,217.82271681384674,11.819941797574154
4,1886,1560,326,0,0.8271474019088016,0.8094217867021162,0.8435430396542941,140.0,300.0,326,12.407884289277717,25.287044395770174,43.8964102845639,282.82771599732814,13.247601591784042
5,2083,1281,802,0,0.614978396543447,0.5938882988353725,0.6356451896696386,158.0,300.0,802,15.065802345052361,23.39412715257983,30.571346021443606,258.07527573857374,13.53610190522883
None,121,102,19,0,0.8429752066115702,0.7677344176119717,0.8971088226389315,115.0,300.0,19,8.022365000098944,9.361645457727358,17.613813036121428,18.226026782020927,0.3146553056625028
