suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
libero_spatial,500,493,7,0,0.986,0.9713869308622147,0.9932022102091564,104.0,220.0,7,7.779211330926046,7.941740936383605,9.364108464727178,14.839950265255757,1.103019574497723
libero_object,500,492,8,0,0.984,0.9687488914666058,0.9918707469666117,137.0,280.0,8,8.511306221364066,8.826231615600177,10.333324960479512,15.602389050675557,1.225865502166691
libero_goal,500,491,9,0,0.982,0.9661483290912607,0.990501806703803,93.0,300.0,9,6.4559851044323295,7.513838845975697,10.963971873838455,17.258470513932405,1.0435887286077357
libero_10,500,466,34,0,0.932,0.9064790772661258,0.9509334925750932,246.0,520.0,34,14.383306506089866,15.509661119263619,22.107478697877383,28.394857074688183,2.154119599897725
