difficulty,label,total,failures,episode_share,failure_share
1,难度 1,1644,101,0.16390827517447656,0.061585365853658536
2,难度 2,2202,153,0.21954137587238284,0.09329268292682927
3,难度 3,2094,239,0.20877367896311066,0.14573170731707316
4,难度 4,1886,326,0.18803589232303092,0.19878048780487806
5,难度 5,2083,802,0.20767696909272185,0.48902439024390243
None,未标注,121,19,0.012063808574277168,0.011585365853658536
