perturbation,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
lan(semantic),2000,1926,74,0,0.963,0.9538001190471888,0.9704246951703708,127.0,300.0,74,8.765010440489277,10.207846812528093,15.595852215494965,27.35050717635546,5.6710260069600515
object,2000,1729,271,0,0.8645,0.8487995460272093,0.8788029265047572,128.0,520.0,271,8.92164240591228,11.42845942814229,20.080104867555207,30.47204425492324,6.349144126745717
swap(position),2000,562,1438,0,0.281,0.2617349514473364,0.30110471526185234,127.5,300.0,1438,15.92550262552686,17.2967647997851,28.491426504682753,31.17018858603202,9.60931377765839
task,2000,486,1514,0,0.243,0.22470743430300802,0.26227792799955596,120.0,300.0,1514,16.072721011238173,17.433296547006815,28.136901004007086,30.917053246102295,9.68516474833712
