key,label,protocol,protocol_total,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
official,LIBERO official,pi05_libero,2000,2000,1942,58,0,0.971,0.9626945430771895,0.97749959838387,127.0,520.0,58,8.580978584475815,9.947868129305775,15.228427219437435,27.02051708341576,5.526593405169875
base_libero_assets,LIBERO Base+stats,pi05_base + LIBERO assets,2000,2000,0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,,290.0,2000,15.98326317500323,18.929183366447223,28.32462822776288,30.4357908670092,10.516212981359567
plus,LIBERO-Plus,pi05_libero,10030,10030,8390,1640,0,0.8364905284147557,0.829124258270085,0.8435991475862147,132.0,300.0,1640,10.42029011505656,21.523725114399912,30.712141679739577,249.06615986800273,59.96748969373086
pro,LIBERO-Pro 可用矩阵,pi05_libero,10000,8000,4703,3297,0,0.587875,0.5770493389444823,0.5986163095111737,127.0,300.0,3297,13.417543704621494,14.091591896865575,27.376864738948644,30.803176530790523,31.314648659701277
