category,label,total,failures,episode_share,failure_share
Camera Viewpoints,相机视角,1599,439,0.15942173479561317,0.2676829268292683
Robot Initial States,机器人初态,1550,416,0.15453639082751744,0.25365853658536586
Objects Layout,物体布局,1525,229,0.15204386839481554,0.13963414634146343
Language Instructions,语言指令,1537,217,0.15324027916251245,0.1323170731707317
Sensor Noise,传感器噪声,1601,209,0.1596211365902293,0.1274390243902439
Light Conditions,光照条件,1142,66,0.11385842472582253,0.04024390243902439
Background Textures,背景纹理,1076,64,0.10727816550348954,0.03902439024390244
