suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
libero_spatial,2402,2138,264,0,0.8900915903413822,0.8769550135613953,0.9019824318505754,111.5,220.0,264,8.766103487461805,15.108139799805636,15.818567236233507,145.12603484266887,10.080486610870317
libero_object,2518,2287,231,0,0.9082605242255759,0.896355407042063,0.9189218550588867,137.0,280.0,231,9.19318094337359,18.331884117423083,25.88245758134875,213.34583878174863,12.822134502130922
libero_goal,2591,1920,671,0,0.7410266306445388,0.7238107079120821,0.7575289114138888,102.0,300.0,671,9.15363314282149,17.973710181955564,20.259073884226382,169.58415064681319,12.93607863373524
libero_10,2519,2045,474,0,0.8118300913060739,0.7960964500198074,0.8266141029985999,247.0,520.0,474,16.72861182782799,34.48338380674068,43.919746678974676,369.3420808585926,24.12878994699438
