scope,planned,attempted_unique,successes,failures,excluded_errors,unknown_errors,policy_denominator,success_rate,macro_success_rate,complete
libero_spatial,500,500,0,500,0,0,500,0.0,,True
libero_object,500,500,0,500,0,0,500,0.0,,True
libero_goal,500,500,0,500,0,0,500,0.0,,True
libero_10,500,500,0,500,0,0,500,0.0,,True
total,2000,2000,0,2000,0,0,2000,0.0,0.0,True
