suite,total,successes,failures,errors,success_rate,videos_available,videos_missing
libero_10,2000,151,1849,0,0.0755,2000,0
libero_goal,2000,39,1961,0,0.0195,2000,0
libero_object,2000,349,1651,0,0.1745,2000,0
libero_spatial,2000,350,1650,0,0.175,2000,0
