suite,suite_label,official_successes,base_successes,total,official_success_rate,official_ci95_low,official_ci95_high,base_success_rate,base_ci95_low,base_ci95_high,official_mean_action_steps,base_mean_action_steps,official_budget_utilization,base_budget_utilization,official_duration_hours,base_duration_hours,official_median_duration_seconds,base_median_duration_seconds
libero_spatial,Spatial,493,0,500,0.986,0.9713869308622147,0.9932022102091564,0.0,4.336808689942018e-19,0.007624340461552241,105.686,220.0,0.4803909090909091,1.0,1.103019574497723,2.0054743846361007,7.779211330926046,14.426245379028842
libero_object,Object,492,0,500,0.984,0.9687488914666058,0.9918707469666117,0.0,4.336808689942018e-19,0.007624340461552241,142.778,280.0,0.5099214285714285,1.0,1.225865502166691,2.163925843314242,8.511306221364066,15.589764121454209
libero_goal,Goal,491,0,500,0.982,0.9661483290912607,0.990501806703803,0.0,4.336808689942018e-19,0.007624340461552241,114.176,300.0,0.3805866666666667,1.0,1.0435887286077357,2.3882792700348525,6.4559851044323295,17.27516140951775
libero_10,LIBERO-10,466,0,500,0.932,0.9064790772661258,0.9509334925750932,0.0,4.336808689942018e-19,0.007624340461552241,274.688,520.0,0.5282461538461538,1.0,2.154119599897725,3.958533483374372,14.383306506089866,28.126433605793864
