protocol,total,successes,failures,success_rate,ci95_low,ci95_high,total_action_steps,mean_action_steps,median_action_steps,mean_budget_utilization,total_episode_duration_hours,mean_duration_seconds,median_duration_seconds,p90_duration_seconds,max_step_failures,infrastructure_errors
official,2000,1942,58,0.971,0.9626945430771895,0.97749959838387,318664,159.332,129.0,0.47478628954378954,5.526593405169875,9.947868129305775,8.580978584475815,15.228427219437435,58,0
base,2000,0,2000,0.0,1.0842021724855044e-19,0.001917047281252934,660000,330.0,290.0,1.0,10.516212981359567,18.929183366447223,15.98326317500323,28.32462822776288,2000,0
