suite,total,successes,failures,errors,success_rate,videos_available,videos_missing
libero_10,2000,292,1708,0,0.146,2000,0
libero_goal,2000,641,1359,0,0.3205,2000,0
libero_object,2000,835,1165,0,0.4175,2000,0
libero_spatial,2000,939,1061,0,0.4695,2000,0
